Case Number,Case Type,Address,Description,Case Group,Date Case Created,Last Inspection Date,Last Inspection Result,Status,Permit and Complaint Status URL,Latitude,Longitude,Location
1028319,CITATION,7538 14TH AVE NE,10.1.12 - Site visit identified outdoor storage in the rear yard and evidence of a chicken coop located along the side property line.,ZONING,10/01/2012,11/28/2012,PASSED,VOLUNTARY COMPLIANCE,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1028319,47.684194,-122.312902,"(47.684194, -122.312902)"
1028318,CONSTRUCTION,11111 AURORA AVE N,GRADING PERMIT REQUIRED FOR FILLING A WETLAND ECA,SITE,10/01/2012,12/10/2012,PASSED,ADMINISTRATIVE CLOSURE,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1028318,47.709698,-122.345588,"(47.709698, -122.345588)"
1028317,HOUSING / ZONING,5613 41ST AVE SW,"09/07/12 - Vacant, junk, vehicles on site",VACANT BUILDING,09/28/2012,02/08/2013,PASSED,ENFORCED COMPLIANCE,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1028317,47.551658,-122.384692,"(47.551658, -122.384692)"
1028316,HOUSING / ZONING,5228 20TH AVE S,"09/12/12 Vacant, open to weather, junk and overgrown. photos taken",VACANT BUILDING,09/28/2012,09/28/2012,FAILED,OPEN,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1028316,47.554792,-122.306881,"(47.554792, -122.306881)"
1028315,HOUSING / ZONING,4007 SW MARYLAND PL,"09/26/12 - Vacant open to weather, deteriorated deck overgrown",VACANT BUILDING,09/28/2012,11/08/2012,FAILED,ADMINISTRATIVE CLOSURE,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1028315,47.592939,-122.383629,"(47.592939, -122.383629)"
1028314,CITATION,1415 NW 62ND ST,Outdoor storage in the carport.,ZONING,09/28/2012,10/26/2012,PASSED,VOLUNTARY COMPLIANCE,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1028314,47.673558,-122.374505,"(47.673558, -122.374505)"
1028313,CITATION,3240 12TH AVE W,A large pile of vegetation is in front of the house.,ZONING,09/28/2012,11/16/2012,PASSED,VOLUNTARY COMPLIANCE,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1028313,47.649781,-122.371992,"(47.649781, -122.371992)"
1028312,CITATION,12321 42ND AVE NE,A large pile of cut vegetation in the side yard.,WEEDS AND VEGETATION,09/28/2012,11/07/2012,PASSED,VOLUNTARY COMPLIANCE,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1028312,47.718054,-122.283654,"(47.718054, -122.283654)"
1028311,CITATION,8620 9TH AVE SW,Outdoor junk storage including but not limited to trash covering the entire driveway.,ZONING,09/28/2012,12/06/2012,PASSED,VOLUNTARY COMPLIANCE,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1028311,47.525828,-122.346467,"(47.525828, -122.346467)"
1028310,HOUSING / ZONING,800 JEFFERSON ST,Boiler under repair. Building is maintaining adequate temp. No emerg. will check back on status.,HOUSING,09/28/2012,10/02/2012,PASSED,VOLUNTARY COMPLIANCE,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1028310,47.604925,-122.325338,"(47.604925, -122.325338)"
1028309,HOUSING / ZONING,230 8TH AVE N,EO- no heat,HOUSING,09/28/2012,09/28/2012,FAILED,VOLUNTARY COMPLIANCE,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1028309,47.620671,-122.340729,"(47.620671, -122.340729)"
1028308,HOUSING / ZONING,4557 33RD AVE S,"09/21/12 bg - Vacant, secure, overgrown.",VACANT BUILDING,09/28/2012,03/08/2013,FAILED,OPEN,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1028308,47.561182,-122.2913,"(47.561182, -122.2913)"
1028307,HOUSING / ZONING,213 S MAIN ST,"09/14/12 - Vacant, open to weather photos taken",VACANT BUILDING,09/28/2012,09/28/2012,FAILED,OPEN,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1028307,47.59987,-122.330704,"(47.59987, -122.330704)"
1028306,CITATION,11302 MERIDIAN AVE N,9/27/12 ej- Observe more than the allowed vehicles on a single family lot.,ZONING,09/28/2012,12/11/2012,PASSED,ENFORCED COMPLIANCE,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1028306,47.710711,-122.333518,"(47.710711, -122.333518)"
1028305,CONSTRUCTION,1104 NW 85TH ST,PERMIT REQUIRED FOR REMODEL OF TENANT SPACE,BUILDING,09/28/2012,12/11/2012,PASSED,VOLUNTARY COMPLIANCE,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1028305,47.69086,-122.370668,"(47.69086, -122.370668)"
1028304,CITATION,5052 RENTON AVE S,9.27.12 - Site visit confirmed vegetation growing into and within existing sidewalk.,WEEDS AND VEGETATION,09/28/2012,10/26/2012,PASSED,VOLUNTARY COMPLIANCE,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1028304,47.555833,-122.287054,"(47.555833, -122.287054)"
1028303,CITATION,5056 RENTON AVE S,9.27.12 - Site visit confirmed weeds growing within and over the existing sidewalk.,WEEDS AND VEGETATION,09/28/2012,10/26/2012,PASSED,VOLUNTARY COMPLIANCE,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1028303,47.555706,-122.28696,"(47.555706, -122.28696)"
1028302,CITATION,9255 SPEAR PL S,Outdoor storage and parking issues.,ZONING,09/28/2012,01/16/2013,PASSED,VOLUNTARY COMPLIANCE,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1028302,47.519698,-122.274032,"(47.519698, -122.274032)"
1028301,HOUSING / ZONING,1525 E SPRUCE ST,"09/27/12 bg - Vacant, secure, junk storage east side. photos taken",VACANT BUILDING,09/28/2012,10/10/2012,PASSED,ENFORCED COMPLIANCE,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1028301,47.603383,-122.311752,"(47.603383, -122.311752)"
1028300,CITATION,4568 33RD AVE S,9.27.12 - Observed weeds and other vegetation growing into the sidewalk along both 33rd Ave S and S Alaska St. BB,WEEDS AND VEGETATION,09/28/2012,10/29/2012,PASSED,VOLUNTARY COMPLIANCE,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1028300,47.560927,-122.29073,"(47.560927, -122.29073)"
1028299,HOUSING / ZONING,4568 33RD AVE S,"This case was opened in error as a Housing and Zoning Case, should have been weeds.",ZONING,09/28/2012,09/27/2012,FAILED,ADMINISTRATIVE CLOSURE,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1028299,47.560927,-122.29073,"(47.560927, -122.29073)"
1028298,CITATION,4547 15TH AVE S,Land use code violation,ZONING,09/27/2012,10/25/2012,PASSED,VOLUNTARY COMPLIANCE,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1028298,47.562188,-122.313851,"(47.562188, -122.313851)"
1028297,CITATION,4414 S WEBSTER ST,"9.27.12  Outdoor storage of items including, but not limited to, a truck, RV and debris within the rear yard and associated alley ROW.",ZONING,09/27/2012,02/12/2013,PASSED,ENFORCED COMPLIANCE,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1028297,47.535637,-122.277365,"(47.535637, -122.277365)"
1028296,CITATION,5411 20TH AVE S,Possible rooster and outdoor storage.,ZONING,09/27/2012,12/17/2012,PASSED,VOLUNTARY COMPLIANCE,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1028296,47.553562,-122.307601,"(47.553562, -122.307601)"
1028295,CITATION,4507 S HOLLY ST,9/27/2012 - Identified outdoor storage in the eastern side yard.,ZONING,09/27/2012,10/26/2012,PASSED,VOLUNTARY COMPLIANCE,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1028295,47.542291,-122.276107,"(47.542291, -122.276107)"
1028294,CITATION,1432 NW 62ND ST,Land Use Code violation observed.,ZONING,09/27/2012,10/17/2012,PASSED,VOLUNTARY COMPLIANCE,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1028294,47.674045,-122.375118,"(47.674045, -122.375118)"
1028293,HOUSING / ZONING,2207 12TH AVE S,Illegal unit.,ZONING,09/27/2012,08/27/2012,FAILED,OPEN,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1028293,47.58345,-122.317599,"(47.58345, -122.317599)"
1028292,HOUSING / ZONING,8433 55TH AVE S,Wilson 9/27/12.  Outdoor junk storage and the house is open to entry.,ZONING,09/27/2012,10/19/2012,FAILED,OPEN,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1028292,47.527609,-122.264145,"(47.527609, -122.264145)"
1028291,CITATION,4412 CORLISS AVE N,Violation of Weeds & Vegetation Ord-,WEEDS AND VEGETATION,09/27/2012,11/28/2012,PASSED,VOLUNTARY COMPLIANCE,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1028291,47.660751,-122.331084,"(47.660751, -122.331084)"
1028290,HOUSING / ZONING,6709 25TH AVE NW,Violation of Land Use Code observed.,ZONING,09/27/2012,01/29/2013,FAILED,OPEN,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1028290,47.677991,-122.388972,"(47.677991, -122.388972)"
1028289,HOUSING / ZONING,510 BROADWAY,A cockroach infestation.,HOUSING,09/27/2012,11/07/2012,PASSED,ENFORCED COMPLIANCE,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1028289,47.606558,-122.320584,"(47.606558, -122.320584)"
1028288,HOUSING / ZONING,6611 38TH AVE S,10/1/12 KB case created wrong case type - see 1028323,ZONING,09/26/2012,10/01/2012,PASSED,ADMINISTRATIVE CLOSURE,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1028288,47.542816,-122.285242,"(47.542816, -122.285242)"
1028287,CONSTRUCTION,814 E HIGHLAND DR,RE-VEGETATION COMPLETED ON A STEEP SLOPE ECA,SITE,09/26/2012,03/18/2013,PASSED,ENFORCED COMPLIANCE,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1028287,47.630642,-122.321489,"(47.630642, -122.321489)"
1028286,CONSTRUCTION,3551 NE 88TH ST,ENCLOSING DECK WITH A ROOF AND FOR DECK ADDITIONS UNDER PERMIT NUMBER 6348881,BUILDING,09/26/2012,03/11/2013,PASSED,ENFORCED COMPLIANCE,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1028286,47.692172,-122.288417,"(47.692172, -122.288417)"
1028285,CONSTRUCTION,520 36TH AVE E,HILLSIDE SHOULD BE RE-VEGETATED AS SOON AS POSSIBLE,SITE,09/26/2012,10/02/2012,PASSED,ADMINISTRATIVE CLOSURE,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1028285,47.624025,-122.286291,"(47.624025, -122.286291)"
1028284,HOUSING / ZONING,6521 21ST AVE SW,"Vacant Building Code violations observed, Major.",VACANT BUILDING,09/26/2012,02/28/2013,PASSED,ADMINISTRATIVE CLOSURE,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1028284,47.54422,-122.35987,"(47.54422, -122.35987)"
1028283,HOUSING / ZONING,2306 HALLECK AVE SW,"09/07/12 bg - Vacant, shed open, overgrown, gutters",VACANT BUILDING,09/26/2012,01/02/2013,PASSED,VOLUNTARY COMPLIANCE,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1028283,47.583727,-122.39894,"(47.583727, -122.39894)"
1028282,TENANT RELOCATION ORDINANCE,2424 55TH AVE SW,Application for a Tenant Relocation License. Total units:1; total units:1. Demolition.,,09/26/2012,,,VOLUNTARY COMPLIANCE,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1028282,47.581836,-122.402415,"(47.581836, -122.402415)"
1028281,TENANT RELOCATION ORDINANCE,2414 55TH AVE SW,Application for a tenant relocation license. Total units:1;total units occupied:1. Demolition.,,09/26/2012,,,VOLUNTARY COMPLIANCE,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1028281,47.581836,-122.402415,"(47.581836, -122.402415)"
1028280,TENANT RELOCATION ORDINANCE,1506 NW 57TH ST,Application for a tenant relocation license. Total units:2; total units occupied:2. Demolition.,,09/26/2012,,,VOLUNTARY COMPLIANCE,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1028280,47.670318,-122.376747,"(47.670318, -122.376747)"
1028279,HOUSING / ZONING,2411 NE 70TH ST,"09/14/12 - Vacant, unsecure, junk, overgrown, photos taken",VACANT BUILDING,09/26/2012,01/04/2013,FAILED,OPEN,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1028279,47.679303,-122.301156,"(47.679303, -122.301156)"
1028278,HOUSING / ZONING,7120 34TH AVE SW,"09/14/12 bg - Vacant, open to weather, overgrown - photos taken",VACANT BUILDING,09/26/2012,11/14/2012,PASSED,VOLUNTARY COMPLIANCE,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1028278,47.538543,-122.374978,"(47.538543, -122.374978)"
1028277,HOUSING / ZONING,1114 AURORA AVE N,Homeless encampment onsite.,ZONING,09/26/2012,02/27/2013,PASSED,ENFORCED COMPLIANCE,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1028277,47.629511,-122.3431,"(47.629511, -122.3431)"
1028276,HOUSING / ZONING,11825 32ND AVE NE,"9/18/12 ej-Observed housing code violations such as but not limited water intrusion, unproved wiring and other miscellaneous items.",HOUSING,09/26/2012,02/19/2013,PASSED,ENFORCED COMPLIANCE,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1028276,47.7149,-122.294597,"(47.7149, -122.294597)"
1028275,HOUSING / ZONING,3225 60TH AVE SW,LU violation resolved: 2 illegal basement units removed,ZONING,09/25/2012,02/04/2013,PASSED,ENFORCED COMPLIANCE,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1028275,47.575054,-122.409795,"(47.575054, -122.409795)"
1028274,HOUSING / ZONING,1109 NW 87TH ST,Housing Building and Maintenance Code violation. EO,HOUSING,09/25/2012,09/25/2012,PASSED,ADMINISTRATIVE CLOSURE,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1028274,47.6919,-122.370866,"(47.6919, -122.370866)"
1028273,CONSTRUCTION,172 S WASHINGTON ST,Installing signs & performing electrical work in Volume Night Club requires a permit & inspections from DPD. Extension cords may not be used for permanent wiring. Permit 6336584 was issued 9/28/12 for a portion of the work performed without a permit. This case will remain open until all required permits & inspections have been obtained & approved.,ELECTRICAL,09/24/2012,11/08/2012,FAILED,ADMINISTRATIVE CLOSURE,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1028273,47.601104,-122.331988,"(47.601104, -122.331988)"
1028272,HOUSING / ZONING,7525 BAGLEY AVE N,Violation of Land Use- Violations of ADU terms.,ZONING,09/24/2012,10/31/2012,PASSED,ENFORCED COMPLIANCE,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1028272,47.684249,-122.331945,"(47.684249, -122.331945)"
1028271,CONSTRUCTION,2623 NE UNIVERSITY VILLAGE ST,INSPECTOR VERIFIED ELECTRICAL PERMIT WAS ISSUED; INSPECTIONS WERE PERFORMED AND RECORDED UNDER 6340743. PERMIT FINAL PASS ON 12/27/12.,ELECTRICAL,09/24/2012,12/27/2012,PASSED,VOLUNTARY COMPLIANCE,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1028271,47.662471,-122.29899,"(47.662471, -122.29899)"
1028270,HOUSING / ZONING,5108 S DAWSON ST,9/17/12 KB HBMC violations,HOUSING,09/21/2012,02/20/2013,PASSED,ENFORCED COMPLIANCE,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1028270,47.555039,-122.269264,"(47.555039, -122.269264)"
1028269,HOUSING / ZONING,4550 S HENDERSON ST,9/17 12 KB HBMC violations,HOUSING,09/21/2012,02/14/2013,PASSED,ENFORCED COMPLIANCE,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1028269,47.523642,-122.274404,"(47.523642, -122.274404)"
1028268,TENANT RELOCATION ORDINANCE,854 NW 92ND ST,Issuance of Owner's Certification of Occupancy or No Displacement.,,09/21/2012,,,ADMINISTRATIVE CLOSURE,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1028268,47.696242,-122.367805,"(47.696242, -122.367805)"
1028267,CITATION,1633 17TH AVE,LAND USE CODE VIOLATIONS,ZONING,09/21/2012,10/15/2012,PASSED,VOLUNTARY COMPLIANCE,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1028267,47.616279,-122.310502,"(47.616279, -122.310502)"
1028266,CONSTRUCTION,2109 NW 95TH ST,PERMIT NEEDED FOR GARAGE REMODEL,BUILDING,09/21/2012,10/05/2012,PASSED,VOLUNTARY COMPLIANCE,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1028266,47.698059,-122.383523,"(47.698059, -122.383523)"
1028265,HOUSING / ZONING,7429 RAINIER AVE S,9/19/12 KB HBMC violations,HOUSING,09/21/2012,11/01/2012,FAILED,OPEN,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1028265,47.534952,-122.270336,"(47.534952, -122.270336)"
1028264,CONSTRUCTION,1520 NE 107TH ST,PERMIT REQUIRED TO ADD OR REPLACE 2ND STORY ON EAST SIDE OF HOUSE,BUILDING,09/21/2012,11/26/2012,FAILED,OPEN,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1028264,47.706865,-122.311354,"(47.706865, -122.311354)"
1028263,CONSTRUCTION,219 22ND AVE S,Permit 6335641 was issued 9/21/12 for work originally started without a permit and inspections.,BUILDING,09/21/2012,09/21/2012,PASSED,VOLUNTARY COMPLIANCE,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1028263,47.600551,-122.303663,"(47.600551, -122.303663)"
1028262,CONSTRUCTION,209 22ND AVE S,Permit 6335630 was issued 9/21/12 for work originally started without a permit and inspections.,BUILDING,09/21/2012,09/21/2012,PASSED,VOLUNTARY COMPLIANCE,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1028262,47.600933,-122.303662,"(47.600933, -122.303662)"
1028261,CITATION,4051 52ND AVE SW,LU Citation:  shed in req'd front yd of through lot + shed in side yd + outdoor junk storage,ZONING,09/21/2012,03/13/2013,PASSED,ENFORCED COMPLIANCE,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1028261,47.567029,-122.399131,"(47.567029, -122.399131)"
1028260,TENANT RELOCATION ORDINANCE,9014 45TH AVE SW,Application for a Tenant Relocation License. Total units: 3; total units occupied: 3. Substantial rehabilitation.,,09/21/2012,,,VOLUNTARY COMPLIANCE,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1028260,47.523259,-122.389908,"(47.523259, -122.389908)"
1028259,TENANT RELOCATION ORDINANCE,1210 NE 41ST ST,Application for a Tenant Relocation License. Total units: 5; total units occupied: 5. Demolition.,,09/21/2012,,,OPEN,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1028259,47.656994,-122.3153,"(47.656994, -122.3153)"
1028258,TENANT RELOCATION ORDINANCE,2406 E PINE ST,Application for a Tenant Relocation License. Total units: 2; total units occupied: 1. Substantial rehabilitation.,,09/21/2012,,,VOLUNTARY COMPLIANCE,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1028258,47.615461,-122.300962,"(47.615461, -122.300962)"
1028257,CITATION,706 NE 43RD ST,Violation of Land Use- Outdoor junk storage,ZONING,09/21/2012,10/19/2012,PASSED,VOLUNTARY COMPLIANCE,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1028257,47.659603,-122.320418,"(47.659603, -122.320418)"
1028256,HOUSING / ZONING,1108 AURORA AVE N,Homeless encampment with associated outdoor storage.,ZONING,09/21/2012,02/27/2013,PASSED,ENFORCED COMPLIANCE,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1028256,47.629171,-122.343055,"(47.629171, -122.343055)"
1028255,CITATION,2556 14TH AVE W,9/20/2012 - Site visit confirmed vegetation over sidewalk.,WEEDS AND VEGETATION,09/21/2012,10/26/2012,PASSED,VOLUNTARY COMPLIANCE,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1028255,47.642397,-122.374606,"(47.642397, -122.374606)"
1028254,CITATION,1602 26TH AVE,Vegetation over the street and sidewalk.,WEEDS AND VEGETATION,09/21/2012,10/18/2012,PASSED,VOLUNTARY COMPLIANCE,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1028254,47.61549,-122.298509,"(47.61549, -122.298509)"
1028253,HOUSING / ZONING,5033 37TH AVE S,9/20/12 KB HBMC violation - pest infestation,HOUSING,09/21/2012,12/03/2012,PASSED,ENFORCED COMPLIANCE,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1028253,47.556092,-122.286522,"(47.556092, -122.286522)"
1028252,CONSTRUCTION,2701 S DELLA ST,Car ran into this 3-story building apartment building. A structural engineer's recommendation for stabilizing the structure and permit(s) and inspections are required for repair.,BUILDING,09/20/2012,09/20/2012,FAILED,OPEN,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1028252,47.571555,-122.297528,"(47.571555, -122.297528)"
1028251,CITATION,313 N 143RD ST,Land Use Code violation observed. More than 3 vehicles on SFR.,ZONING,09/20/2012,11/07/2012,PASSED,VOLUNTARY COMPLIANCE,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1028251,47.732132,-122.354699,"(47.732132, -122.354699)"
1028250,CITATION,4308 EVANSTON AVE N,Land Use Code violations observed: parking in required yard and junk,ZONING,09/20/2012,10/26/2012,PASSED,VOLUNTARY COMPLIANCE,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1028250,47.659254,-122.350803,"(47.659254, -122.350803)"
1028249,HOUSING / ZONING,11203 LUTHER AVE S,EO- vacate and close- elec service has not been restored,HOUSING,09/20/2012,10/12/2012,PASSED,ENFORCED COMPLIANCE,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1028249,47.499766,-122.264929,"(47.499766, -122.264929)"
1028248,HOUSING / ZONING,3534 INTERLAKE AVE N,"9/20/12 - Small sign on gate is not in violation due to existing zoning. However, the use as a preschool/child day care has not been established.",ZONING,09/20/2012,09/20/2012,FAILED,OPEN,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1028248,47.650233,-122.341134,"(47.650233, -122.341134)"
1028247,CITATION,3642 INTERLAKE AVE N,9/20/12 ej-Observed vegetation encroaching into sidewalk.,WEEDS AND VEGETATION,09/20/2012,11/27/2012,PASSED,VOLUNTARY COMPLIANCE,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1028247,47.651789,-122.341032,"(47.651789, -122.341032)"
1028246,HOUSING / ZONING,5033 40TH AVE SW,"LU violations: illegal unit & parking by non-resident on lot, use not allowed",ZONING,09/20/2012,12/03/2012,PASSED,ENFORCED COMPLIANCE,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1028246,47.556509,-122.383179,"(47.556509, -122.383179)"
1028245,TENANT RELOCATION ORDINANCE,1728 SUMMIT AVE,Application for a Tenant Relocation License. Total units: 2; total units occupied: 2. Demolition.,,09/20/2012,,,OPEN,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1028245,47.61732,-122.325279,"(47.61732, -122.325279)"
1028244,CITATION,555 S CLOVERDALE ST,Outdoor junk storage including but not limited to a boat filled with misc.items stored in the req.yard.,ZONING,09/20/2012,03/19/2013,PASSED,VOLUNTARY COMPLIANCE,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1028244,47.526284,-122.326032,"(47.526284, -122.326032)"
1028243,CITATION,827 S CLOVERDALE ST,Outdoor junk storage including but not limited to bags of garbage and more misc.items stored in the back yard.,ZONING,09/20/2012,12/06/2012,PASSED,VOLUNTARY COMPLIANCE,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1028243,47.526147,-122.321711,"(47.526147, -122.321711)"
1028242,HOUSING / ZONING,748 S KENYON ST,Outdoor junk storage including but not limited to boxes of garbage stored at the property.,ZONING,09/20/2012,09/27/2012,FAILED,ADMINISTRATIVE CLOSURE,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1028242,47.532128,-122.323391,"(47.532128, -122.323391)"
1028241,CONSTRUCTION,4051 52ND AVE SW,"Permit 6338202 was issued 10/11/12 for a portion of the work performed without a permit. A permit is still required for the back deck, extending 2nd level to the west & adding a dormer to the west side of the house.",BUILDING,09/20/2012,09/24/2012,FAILED,OPEN,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1028241,47.567029,-122.399131,"(47.567029, -122.399131)"
1028240,HOUSING / ZONING,6325 17TH AVE SW,Housing violations.,HOUSING,09/20/2012,01/25/2013,PASSED,VOLUNTARY COMPLIANCE,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1028240,47.545824,-122.356332,"(47.545824, -122.356332)"
1028239,CITATION,1811 E HOWELL ST,Outdoor junk storage including a mattress.,ZONING,09/20/2012,10/18/2012,PASSED,VOLUNTARY COMPLIANCE,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1028239,47.617445,-122.308219,"(47.617445, -122.308219)"
1028238,CONSTRUCTION,933 NW 97TH ST,Permit 6335817 was issued 9/24/12 for work originally started without a permit and inspections.,BUILDING,09/19/2012,09/24/2012,PASSED,VOLUNTARY COMPLIANCE,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1028238,47.699968,-122.370195,"(47.699968, -122.370195)"
1028237,HOUSING / ZONING,1020 NE 125TH ST,"9/18/12 ej -Observe housing code violations such as but not limited to, leaking faucet, detached window sills, broken enamel on sinks and other miscellaneous items.",HOUSING,09/19/2012,11/05/2012,PASSED,ENFORCED COMPLIANCE,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1028237,47.719772,-122.317474,"(47.719772, -122.317474)"
1028236,HOUSING / ZONING,11203 LUTHER AVE S,EO- electricity shut off.,HOUSING,09/19/2012,10/12/2012,FAILED,ADMINISTRATIVE CLOSURE,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1028236,47.499766,-122.264929,"(47.499766, -122.264929)"
1028235,HOUSING / ZONING,5339 S RUGGLES ST,9/19/12 Illegal Unit possibly in operation - research required,ZONING,09/19/2012,12/03/2012,FAILED,OPEN,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1028235,47.508522,-122.265815,"(47.508522, -122.265815)"
1028234,HOUSING / ZONING,9040 3RD AVE SW,Violation of the Just Cause Eviction Ordinance (Seattle Municipal Code Section 22.206.160(C)),JUST CAUSE EVICTION,09/19/2012,,,OPEN,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1028234,47.52166,-122.338671,"(47.52166, -122.338671)"
1028233,HOUSING / ZONING,2012 E YESLER WAY,The toilet and/or vanity is leaking water onto the bathroom floor.,HOUSING,09/19/2012,10/26/2012,PASSED,ENFORCED COMPLIANCE,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1028233,47.601849,-122.3062,"(47.601849, -122.3062)"
1028232,HOUSING / ZONING,2112 5TH AVE W,Violation of the Just Cause Eviction Ordinance (Seattle Municipal Code Section 22.206.160(C)),JUST CAUSE EVICTION,09/19/2012,,,OPEN,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1028232,47.638227,-122.363345,"(47.638227, -122.363345)"
1028231,CONSTRUCTION,1301 26TH AVE S,Permit 6335359 was issued 10/1/12 for work originally performed without a permit and inspections. This case will remain open until all required inspections have been requested and approved.,BUILDING,09/18/2012,09/20/2012,FAILED,OPEN,http://web1.seattle.gov/dpd/PermitStatus/Project.aspx?id=1028231,47.591923,-122.298687,"(47.591923, -122.298687)"
